[1/4] Creating LuaState...
[2/4] Opening standard library...
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[3/4] Loading source (parse + compile)...
[4/4] Executing chunk...
[DBG] collect_via_heap: force=false snapshot.len=0
testing local variables and environments
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
[DBG] collect_via_heap: force=false snapshot.len=0
