all	FAIL	.....lua: pcall_k failed: Runtime: gc.lua:469: assertion failed!
api	PASS	-
attrib	PASS	-
big	PASS	-
bitwise	PASS	-
bwcoercion	PASS	-
calls	PASS	-
calls_head313	PASS	-
calls_isolated_tmp	PASS	-
closure	PASS	-
code	PASS	-
constructs	PASS	-
coroutine	FAIL	lua: pcall_k failed: Runtime: ...riments/lua-rs-port/reference/lua-c/testes/coroutine.lua:319: asser
cstack	PASS	-
db	FAIL	lua: pcall_k failed: Runtime: ...ustExperiments/lua-rs-port/reference/lua-c/testes/db.lua:28: assert
errors	PASS	-
events	PASS	-
files-debug	PASS	-
files	PASS	-
