[1/4] Creating LuaState...
[2/4] Opening standard library...
[3/4] Loading source (parse + compile)...
[cg_emit_eq] e1=NonReloc info=0 e2=NonReloc info=1 r1=0 r2=1 freereg=2 nactvar=0 line=7
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=14
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=15
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=16
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=17
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=18
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=19
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=21
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=22
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=23
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=24
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=0 line=26
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=4 r1=3 r2=4 freereg=6 nactvar=5 line=75
[cg_emit_eq] e1=NonReloc info=1 e2=NonReloc info=2 r1=1 r2=2 freereg=3 nactvar=1 line=102
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=145
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=146
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=147
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=148
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=149
[cg_emit_eq] e1=NonReloc info=9 e2=NonReloc info=10 r1=9 r2=10 freereg=11 nactvar=8 line=150
[cg_emit_eq] e1=NonReloc info=7 e2=NonReloc info=1 r1=7 r2=1 freereg=8 nactvar=6 line=159
[cg_emit_eq] e1=NonReloc info=7 e2=NonReloc info=0 r1=7 r2=0 freereg=8 nactvar=6 line=160
[cg_emit_eq] e1=NonReloc info=4 e2=NonReloc info=2 r1=4 r2=2 freereg=7 nactvar=6 line=161
[cg_emit_eq] e1=NonReloc info=3 e2=NonReloc info=5 r1=3 r2=5 freereg=7 nactvar=6 line=162
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=13 r1=12 r2=13 freereg=14 nactvar=11 line=166
[cg_emit_eq] e1=NonReloc info=12 e2=NonReloc info=13 r1=12 r2=13 freereg=14 nactvar=11 line=166
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=142 freereg=15 nactvar=13 line=169
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=173
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=152 freereg=15 nactvar=13 line=174
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=152 freereg=15 nactvar=13 line=175
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=179
[cg_emit_eq] e1=NonReloc info=14 e2=KInt info=0 r1=14 r2=152 freereg=15 nactvar=13 line=181
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=189
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=190
[cg_emit_eq] e1=NonReloc info=14 e2=NonReloc info=15 r1=14 r2=15 freereg=16 nactvar=13 line=194
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=17 r1=15 r2=17 freereg=18 nactvar=16 line=219
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=127 freereg=18 nactvar=16 line=220
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=137 freereg=18 nactvar=16 line=220
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=14 r1=17 r2=14 freereg=18 nactvar=16 line=221
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=14 r1=17 r2=14 freereg=18 nactvar=16 line=222
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=224
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=127 freereg=18 nactvar=16 line=226
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=147 freereg=18 nactvar=16 line=226
[cg_emit_eq] e1=NonReloc info=15 e2=NonReloc info=17 r1=15 r2=17 freereg=18 nactvar=16 line=227
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=228
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=18 r1=17 r2=18 freereg=19 nactvar=16 line=229
[cg_emit_eq] e1=NonReloc info=17 e2=NonReloc info=14 r1=17 r2=14 freereg=18 nactvar=16 line=230
[cg_emit_eq] e1=NonReloc info=17 e2=KInt info=0 r1=17 r2=137 freereg=18 nactvar=16 line=230
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=280
[cg_emit_eq] e1=NonReloc info=26 e2=NonReloc info=28 r1=26 r2=28 freereg=29 nactvar=27 line=280
[cg_emit_eq] e1=NonReloc info=25 e2=KInt info=0 r1=25 r2=152 freereg=28 nactvar=27 line=287
[cg_emit_eq] e1=NonReloc info=26 e2=KInt info=0 r1=26 r2=142 freereg=28 nactvar=27 line=287
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=29 r1=28 r2=29 freereg=30 nactvar=27 line=290
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=294
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=31 r1=29 r2=31 freereg=32 nactvar=30 line=294
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=296
[cg_emit_eq] e1=NonReloc info=29 e2=NonReloc info=31 r1=29 r2=31 freereg=32 nactvar=30 line=296
[cg_emit_eq] e1=NonReloc info=31 e2=NonReloc info=32 r1=31 r2=32 freereg=33 nactvar=30 line=300
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=308
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=308
[cg_emit_eq] e1=NonReloc info=33 e2=NonReloc info=34 r1=33 r2=34 freereg=35 nactvar=32 line=309
[cg_emit_eq] e1=NonReloc info=35 e2=NonReloc info=36 r1=35 r2=36 freereg=37 nactvar=34 line=313
[cg_emit_eq] e1=NonReloc info=35 e2=NonReloc info=36 r1=35 r2=36 freereg=37 nactvar=34 line=313
[cg_emit_eq] e1=NonReloc info=35 e2=KInt info=0 r1=35 r2=172 freereg=36 nactvar=34 line=315
[cg_emit_eq] e1=NonReloc info=28 e2=NonReloc info=25 r1=28 r2=25 freereg=29 nactvar=27 line=334
[cg_emit_eq] e1=NonReloc info=28 e2=KInt info=0 r1=28 r2=157 freereg=29 nactvar=27 line=335
